city-address,type,passability,area,Average of money,Average of profit,Average of our_clients,Count of Index
"г. Хабаровск, ул. Суворова, д. 25",1,58000,9700,4922750,0.005,0.14,8
"г. Владивосток, ул. Черемуховая, д. 15",3,67700,7300,3530071.43,0.005,0.13571428571428573,7
"г. Хабаровск, ул. Карла Маркса, д. 91",3,17900,500,76714.29,0.005,0.14857142857142858,7
"г. Хабаровск, ул. Суворова, д. 51",1,17700,4700,526870,0.003,0.04,6
"г. Владивосток, просп. 100-летия Владивостока, д. 40",1,61400,5300,2733528,0.006,0.18,5
"г. Владивосток, просп. 100-летия Владивостока, д. 68",0,8200,8100,531360,0.006,0.178,5
"г. Владивосток, ул. Крыгина, д. 23",1,36900,8500,2634660,0.006,0.182,5
"г. Хабаровск, ул. Трехгорная, д. 98",1,23500,7100,1668500,0.006,0.188,5
"г. Хабаровск, ул. Шелеста, д. 116а",3,59800,1300,746304,0.006,0.198,5
"г. Владивосток, просп. 100-летия Владивостока, д. 150в",1,30400,9800,2383360,0.007,0.2325,4
"г. Владивосток, просп. 100-летия Владивостока, д. 42а",4,88400,9000,3182400,0.003,0.0325,4
"г. Владивосток, просп. Океанский, д. 52а",0,200,700,1190,0.007,0.21750000000000003,4
"г. Владивосток, ул. Анны Щетининой, д. 21",1,71200,5900,3780720,0.007,0.21750000000000003,4
"г. Владивосток, ул. Героев Тихоокеанцев, д. 5а",4,42300,2400,761400,0.003,0.025,4
"г. Владивосток, ул. Луговая, д. 18",1,20500,200,18450,0.003,0.0225,4
"г. Владивосток, ул. Нейбута, д. 47",3,88700,5800,2572300,0.003,0.035,4
"г. Владивосток, ул. Ульяновская, д. 7",1,35500,700,198800,0.007,0.21500000000000002,4
"г. Хабаровск, ул. Ленинградская, д. 28",4,75800,1300,739050,0.003,0.05,4
"г. Хабаровск, ул. Муравьева-Амурского, д. 44",2,73500,9100,4013100,0.003,0.037500000000000006,4
"г. Хабаровск, ул. Шеронова, д. 92",4,19200,1400,295680,0.007,0.24000000000000002,4
"г. Владивосток, просп. 100-летия Владивостока, д. 57г",1,27000,8600,2631600,0.003,0.04,3
"г. Владивосток, просп. Красного Знамени, д. 57",3,62900,1800,1132200,0.009,0.28,3
"г. Владивосток, просп. Океанский, д. 111",2,65600,9300,3660480,0.003,0.03,3
"г. Владивосток, просп. Океанский, д. 17",0,51300,1200,410400,0.003,0.04666666666666667,3
"г. Владивосток, ул. Березовая, д. 25",0,5500,3700,149233.33,0.003,0.02,3
"г. Владивосток, ул. Борисенко, д. 35",2,86600,3000,1732000,0.003,0.03,3
"г. Владивосток, ул. Калинина, д. 275",3,83900,4000,2684800,0.003,0.04,3
"г. Владивосток, ул. Калинина, д. 275а",1,29300,8800,1203253.33,0.003,0.03,3
"г. Владивосток, ул. Маковского, д. 56а",4,88100,900,475740,0.003,0.03,3
"г. Владивосток, ул. Нейбута, д. 51",3,53400,6600,3524400,0.009,0.28,3
"г. Владивосток, ул. Новоивановская, д. 3",1,40600,600,146160,0.003,0.02666666666666667,3
"г. Владивосток, ул. Полетаева, д. 6д",4,41200,7400,2845546.67,0.009,0.2966666666666667,3
"г. Владивосток, ул. Русская, д. 2к",2,78800,900,661920,0.009,0.30333333333333334,3
"г. Владивосток, ул. Русская, д. 94а",3,2800,800,10453.33,0.003,0.02666666666666667,3
"г. Владивосток, ул. Светланская, д. 106",3,35800,8900,2548960,0.009,0.2866666666666667,3
"г. Владивосток, ул. Семеновская, д. 15",1,91100,4700,3996253.33,0.009,0.2966666666666667,3
"г. Владивосток, ул. Фонтанная, д. 40",1,9600,2400,184320,0.003,0.02,3
"г. Владивосток, ул. Черняховского, д. 5",2,73200,4200,2254560,0.009,0.2866666666666667,3
"г. Хабаровск, квартал ДОС (Большой Аэродром), д. 51",3,70500,900,423000,0.003,0.03666666666666667,3
"г. Хабаровск, ул. Вахова, д. 2",3,79400,7600,5632106.67,0.003,0.02666666666666667,3
"г. Хабаровск, ул. Гагарина, д. 9",2,78200,8000,5421866.67,0.003,0.06,3
"г. Хабаровск, ул. Ким Ю Чена, д. 44",1,99000,5700,4138200,0.009,0.2833333333333334,3
