id,city,address,area,year,floors,type,passability,revenue,quantity,gain
3939,Хабаровск,"ш. Чернореченское, д. 6",100,1970,1,0,14800,"108923,78125",0,"81,2282026387425"
4246,Хабаровск,"ш. Федоровское, д. 10","2153,2",1977,9,2,55209,"2076196,75",0,"1548,2911848224"
3938,Хабаровск,"ш. Матвеевское, д. 9","3021,5",1963,5,6,58225,"2884327,75",0,"2150,94221174541"
3937,Хабаровск,"ш. Матвеевское, д. 8","4196,8",1966,5,0,69810,"4011962,75",1,"3243,69902419008"
3936,Хабаровск,"ш. Матвеевское, д. 7","2713,3",1963,5,0,50133,"2598919,5",0,"1938,1034826844"
3935,Хабаровск,"ш. Матвеевское, д. 6","4168,3",1967,5,0,49203,3960379,1,"3137,70578944754"
3934,Хабаровск,"ш. Матвеевское, д. 5","3238,6",1963,5,0,30256,"2944291,5",0,"2195,65923845971"
4245,Хабаровск,"ш. Матвеевское, д. 47","2242,4",1979,9,0,52899,2161271,0,"1611,73397333962"
3933,Хабаровск,"ш. Матвеевское, д. 4","1884,4",1972,9,0,30910,"1799446,125",0,"1341,90874390894"
4244,Хабаровск,"ш. Матвеевское, д. 32","2596,3",1977,9,0,41701,"2479164,75",0,"1848,79825486069"
3932,Хабаровск,"ш. Матвеевское, д. 3","3204,8",1964,5,0,50995,"3060242,25",0,"2282,12769290582"
3931,Хабаровск,"ш. Матвеевское, д. 29","5868,4",1972,5,0,58146,5529432,1,"6361,76381067481"
4243,Хабаровск,"ш. Матвеевское, д. 28 Б",4350,1980,3,0,41774,"4021416,25",1,"3263,12388268987"
4242,Хабаровск,"ш. Матвеевское, д. 28 А-Б","994,8",1952,2,0,28833,"963841,5",0,"718,769691752961"
4241,Хабаровск,"ш. Матвеевское, д. 28","5810,8",1973,5,0,101421,"5561634,5",1,"6427,93284921498"
3930,Хабаровск,"ш. Матвеевское, д. 27","3618,1",1969,5,0,86128,"3489733,5",0,"2602,41406091664"
3929,Хабаровск,"ш. Матвеевское, д. 25","3558,8",1969,5,0,71784,"3416871,75",0,"2548,07855286051"
3928,Хабаровск,"ш. Матвеевское, д. 24","8913,2",1983,9,5,91979,8444356,1,"12351,2900430378"
3927,Хабаровск,"ш. Матвеевское, д. 22","2274,1",1959,3,0,40017,"2175395,25",0,"1622,26691139918"
3926,Хабаровск,"ш. Матвеевское, д. 20А",3592,1976,5,0,72915,3449329,0,"2572,28303832586"
3925,Хабаровск,"ш. Матвеевское, д. 20","1482,2",1959,3,0,44980,"1439789,625",0,"1073,70054614826"
3924,Хабаровск,"ш. Матвеевское, д. 2/4","5445,3",1972,9,0,38882,"4117417,75",1,"3460,38580190155"
3923,Хабаровск,"ш. Матвеевское, д. 1Б","4355,6",1970,5,0,37963,"3805163,75",0,"2837,64122592464"
3922,Хабаровск,"ш. Матвеевское, д. 1А","6036,2",1970,5,0,78948,5745569,1,"6805,8776988188"
3921,Хабаровск,"ш. Матвеевское, д. 18","1277,3",1960,3,0,34383,"1235102,75",0,"921,058517298472"
3920,Хабаровск,"ш. Матвеевское, д. 16","2164,2",1960,3,0,27430,2057270,0,"1534,17685766033"
3919,Хабаровск,"ш. Матвеевское, д. 14","1636,9",1961,3,0,41184,1580078,0,"1178,31840297978"
3918,Хабаровск,"ш. Матвеевское, д. 13","3261,3",1965,5,0,77987,"3145761,25",0,"2345,9021467647"
