,id,city-address,type,passability,area,Average of profit,Average of our_clients,Count of Index,Average of money new,quantity,GAIN
0,1,"г. Хабаровск, ул. Суворова, д. 25",0,61744,7899.6,0.005,0.14,8.0,6498043.5,1,8352.04691521492
1,2,"г. Владивосток, ул. Черемуховая, д. 15",6,30364,2529.2,0.005,0.13571428571428573,7.0,2389639.0,0,1782.0358299895313
2,3,"г. Хабаровск, ул. Карла Маркса, д. 91",0,7220,38.1,0.005,0.14857142857142858,7.0,41798.4140625,0,31.17051215523068
3,4,"г. Хабаровск, ул. Суворова, д. 51",0,94443,4008.8,0.003,0.04,6.0,3865662.0,1,2943.0832345710714
4,5,"г. Владивосток, пр-кт. 100-летия Владивостока, д. 150в",0,45105,1394.4,0.006999999999999999,0.198,5.0,1357717.625,0,1012.4966385124658
5,6,"г. Владивосток, пр-кт. 100-летия Владивостока, д. 40",0,182245,18436.2,0.006,0.18,5.0,17357420.0,1,30665.671700580297
6,7,"г. Владивосток, пр-кт. 100-летия Владивостока, д. 68",0,35344,4483.4,0.006,0.17800000000000002,5.0,3703078.75,0,2761.51293721472
7,8,"г. Владивосток, пр-кт. Океанский, д. 52а",0,34769,675.7,0.006999999999999999,0.18600000000000005,5.0,672180.75,0,501.2682588161792
8,9,"г. Владивосток, ул. Героев Тихоокеанцев, д. 5а",0,29210,1739.8,0.003,0.032,5.0,1661976.875,0,1239.3932053603212
9,10,"г. Владивосток, ул. Крыгина, д. 23",0,68414,5891.7,0.006,0.182,5.0,5597521.5,1,6501.672723016429
10,11,"г. Хабаровск, ул. Трехгорная, д. 98",0,46050,2735.2,0.006,0.188,5.0,2614496.25,0,1949.7195998530601
11,12,"г. Хабаровск, ул. Шелеста, д. 116а",0,43868,1513.0,0.006,0.198,5.0,1467290.0,0,1094.2085197744677
12,13,"г. Владивосток, пр-кт. 100-летия Владивостока, д. 42а",1,89507,6024.9,0.003,0.0325,4.0,5745577.5,1,6805.895164444997
