id,city-address,type,passability,area,Average of money,Average of profit,Average of our_clients,Count of Index
1,"г. Хабаровск, ул. Суворова, д. 25",0,61744,7899.6,17071351.75,0.005,0.14,8
2,"г. Владивосток, ул. Черемуховая, д. 15",6,30364,2529.2,2194189.29,0.005,0.13571428571428573,7
3,"г. Хабаровск, ул. Карла Маркса, д. 91",0,7220,38.1,9431.43,0.005,0.14857142857142858,7
4,"г. Хабаровск, ул. Суворова, д. 51",0,94443,4008.8,9591278.5,0.003,0.04,6
5,"г. Владивосток, пр-кт. 100-летия Владивостока, д. 150в",0,45105,1394.4,2616407.6,0.007,0.198,5
6,"г. Владивосток, пр-кт. 100-летия Владивостока, д. 40",0,182245,18436.2,112892817,0.006,0.18,5
7,"г. Владивосток, пр-кт. 100-летия Владивостока, д. 68",0,35344,4483.4,5070761.2,0.006,0.178,5
8,"г. Владивосток, пр-кт. Океанский, д. 52а",0,34769,675.7,1014915.4,0.007,0.18600000000000003,5
9,"г. Владивосток, ул. Героев Тихоокеанцев, д. 5а",0,29210,1739.8,2032782.2,0.003,0.032,5
10,"г. Владивосток, ул. Крыгина, д. 23",0,68414,5891.7,13543312,0.006,0.182,5
11,"г. Хабаровск, ул. Трехгорная, д. 98",0,46050,2735.2,5038238.4,0.006,0.188,5
12,"г. Хабаровск, ул. Шелеста, д. 116а",0,43868,1513,2548695.8,0.006,0.198,5
13,"г. Владивосток, пр-кт. 100-летия Владивостока, д. 42а",1,89507,6024.9,8628331.5,0.003,0.0325,4
14,"г. Владивосток, пр-кт. 100-летия Владивостока, д. 57г",0,179782,16356,158787777.25,0.004,0.045,4
15,"г. Владивосток, ул. Анны Щетининой, д. 21",0,35353,1797.6,2287820,0.007,0.21750000000000003,4
16,"г. Владивосток, ул. Калинина, д. 275а",0,35789,2580,3139411.25,0.004,0.0375,4
17,"г. Владивосток, ул. Луговая, д. 18",0,15701,257.7,72830.75,0.003,0.0225,4
18,"г. Владивосток, ул. Нейбута, д. 47",0,160162,13744.27,44026195.5,0.003,0.035,4
19,"г. Владивосток, ул. Ульяновская, д. 7",0,51688,2502.1,4138513.5,0.007,0.21500000000000002,4
20,"г. Хабаровск, ул. Ленинградская, д. 28",0,18629,572.9,320176.5,0.003,0.05,4
21,"г. Хабаровск, ул. Муравьева-Амурского, д. 44",0,92937,7475.2,16673344,0.003,0.037500000000000006,4
22,"г. Хабаровск, ул. Шеронова, д. 92",0,29961,2391.8,3153071.75,0.007,0.24000000000000002,4
23,"г. Владивосток, пр-кт. Красного Знамени, д. 57",0,162134,25032.07,162341985.33,0.009,0.28,3
24,"г. Владивосток, пр-кт. Красного Знамени, д. 86а",0,83347,4716.9,18870694.33,0.009,0.30000000000000004,3
25,"г. Владивосток, пр-кт. Океанский, д. 111",0,31831,3399.76,2597226,0.003,0.03,3
26,"г. Владивосток, пр-кт. Океанский, д. 17",0,154079,11231.2,46146455.33,0.003,0.04666666666666667,3
27,"г. Владивосток, ул. Березовая, д. 25",0,101640,6329.2,18870130,0.003,0.02,3
28,"г. Владивосток, ул. Борисенко, д. 35",0,29653,983.1,777383.33,0.003,0.03,3
29,"г. Владивосток, ул. Калинина, д. 275",0,117967,10487.3,39588970,0.003,0.04,3
30,"г. Владивосток, ул. Маковского, д. 56а",0,60995,6833.7,10003717,0.003,0.03,3
31,"г. Владивосток, ул. Нейбута, д. 51",0,140948,12383.41,69816675,0.009,0.28,3
32,"г. Владивосток, ул. Новоивановская, д. 3",0,85931,10886.2,22451089.33,0.003,0.02666666666666667,3
33,"г. Владивосток, ул. Полетаева, д. 6",0,39942,3860.6,8224004.67,0.004,0.03666666666666667,3
34,"г. Владивосток, ул. Полетаева, д. 6д",0,51846,2267.8,4389517.33,0.009,0.2966666666666667,3
35,"г. Владивосток, ул. Русская, д. 2к",0,63721,4056.7,9650554,0.009,0.30333333333333334,3
36,"г. Владивосток, ул. Русская, д. 87а",0,96498,6508,30144431.33,0.004,0.043333333333333335,3
37,"г. Владивосток, ул. Русская, д. 94а",2,60897,11000,12504184,0.003,0.02666666666666667,3
38,"г. Владивосток, ул. Светланская, д. 106",0,91596,15188.9,44519759.67,0.009,0.2866666666666667,3
39,"г. Владивосток, ул. Семеновская, д. 15",0,27068,444.6,449285.33,0.009,0.2966666666666667,3
40,"г. Владивосток, ул. Фадеева, д. 30 Б",0,73929,3713.5,10981413.33,0.004,0.04,3
41,"г. Владивосток, ул. Фонтанная, д. 40",0,76198,6380.51,15557827.33,0.003,0.02,3
42,"г. Владивосток, ул. Черняховского, д. 5",0,71048,3501,7296345.33,0.009,0.2866666666666667,3
